"%s and greater","%s and greater"
"Advanced Search","Advanced Search"
"All","All"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","Catalog Advanced Search"
"Description","Description"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Home","Home"
"List","List"
"Name","Name"
"Popular search terms","Popular search terms"
"Popular Search Terms","Popular Search Terms"
"Price","Price"
"Required Fields","Required Fields"
"Results","Results"
"Search","Search"
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Search Settings","Search Settings"
"Search Site","Search Site"
"Search Terms","Search Terms"
"Short Description","Short Description"
"SKU","SKU"
"Tax Class","Tax Class"
"There are no search terms available.","There are no search terms available."
"up to %s","up to %s"
"You have to specify at least one search term","You have to specify at least one search term"
"Your search returns no results.","Your search returns no results."
